+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                    ;
+--------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; eth0|udp_complete_inst|ip_complete_inst|arp_inst|arp_eth_rx_inst                                                         ; 128   ; 0              ; 1            ; 0              ; 339    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|arp_inst                                                                         ; 307   ; 16             ; 0            ; 16             ; 177    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|ip_inst|ip_eth_tx_inst                                                           ; 264   ; 48             ; 0            ; 48             ; 128    ; 48              ; 48            ; 48              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|ip_inst|ip_eth_rx_inst                                                           ; 128   ; 0              ; 0            ; 0              ; 291    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|ip_inst                                                                          ; 377   ; 16             ; 32           ; 16             ; 454    ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|eth_arb_mux_inst|arb_inst|priority_encoder_masked                                ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|eth_arb_mux_inst|arb_inst|priority_encoder_inst                                  ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|eth_arb_mux_inst|arb_inst                                                        ; 6     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|eth_arb_mux_inst                                                                 ; 286   ; 34             ; 0            ; 34             ; 128    ; 34              ; 34            ; 34              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst                                                                                  ; 391   ; 0              ; 0            ; 0              ; 420    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_arb_mux_inst|arb_inst|priority_encoder_masked                                                  ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_arb_mux_inst|arb_inst|priority_encoder_inst                                                    ; 2     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_arb_mux_inst|arb_inst                                                                          ; 6     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_arb_mux_inst                                                                                   ; 606   ; 370            ; 0            ; 370            ; 120    ; 370             ; 370           ; 370             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst                                                                                                   ; 549   ; 263            ; 0            ; 263            ; 762    ; 263             ; 263           ; 263             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_axis_tx_inst                                                                                                    ; 127   ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_axis_rx_inst                                                                                                    ; 15    ; 0              ; 0            ; 0              ; 125    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|rx_fifo|fifo_inst                                                                                      ; 32    ; 17             ; 17           ; 17             ; 35     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|rx_fifo                                                                                                ; 33    ; 17             ; 0            ; 17             ; 15     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|tx_fifo|fifo_inst                                                                                      ; 32    ; 17             ; 17           ; 17             ; 35     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|tx_fifo                                                                                                ; 33    ; 16             ; 0            ; 16             ; 15     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|eth_mac_1g_inst|axis_gmii_tx_inst|eth_crc_8                                      ; 40    ; 8              ; 0            ; 8              ; 40     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|eth_mac_1g_inst|axis_gmii_tx_inst                                                ; 119   ; 113            ; 96           ; 113            ; 126    ; 113             ; 113           ; 113             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|eth_mac_1g_inst|axis_gmii_rx_inst|eth_crc_8                                      ; 40    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|eth_mac_1g_inst|axis_gmii_rx_inst                                                ; 110   ; 0              ; 96           ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|eth_mac_1g_inst                                                                  ; 37    ; 1              ; 0            ; 1              ; 25     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|rgmii_phy_if_inst|data_oddr_inst|altddio_out_inst|auto_generated                 ; 11    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|rgmii_phy_if_inst|data_oddr_inst                                                 ; 11    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|rgmii_phy_if_inst|clk_oddr_inst|altddio_out_inst|auto_generated                  ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|rgmii_phy_if_inst|clk_oddr_inst                                                  ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|rgmii_phy_if_inst|rx_ssio_ddr_inst|data_iddr_inst|altddio_in_inst|auto_generated ; 6     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|rgmii_phy_if_inst|rx_ssio_ddr_inst|data_iddr_inst                                ; 6     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|rgmii_phy_if_inst|rx_ssio_ddr_inst                                               ; 6     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst|rgmii_phy_if_inst                                                                ; 21    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst|eth_mac_1g_rgmii_inst                                                                                  ; 28    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|eth_mac_inst                                                                                                        ; 31    ; 8              ; 0            ; 8              ; 18     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0                                                                                                                     ; 9     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; in                                                                                                                       ; 9     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; out                                                                                                                      ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pll2|altpll_component|auto_generated                                                                                     ; 3     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pll2                                                                                                                     ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pll1|altpll_component|auto_generated                                                                                     ; 3     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pll1                                                                                                                     ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pll0|altpll_component|auto_generated                                                                                     ; 3     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; pll0                                                                                                                     ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+--------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
